Activity;Product;Geography;Matched Substance;Color;Formula;Product_Percentage;Atomic_Percentage;Final_Percentage
gypsum quarry operation;gypsum, mineral;CH;Gypsum;#1f77b4;CaH4O6S;1;100;100
gypsum quarry operation;anhydrite rock;RoW;Anhydrite;#1f77b4;CaSO4;1;100;100
gypsum quarry operation;gypsum, mineral;RoW;Gypsum;#1f77b4;CaH4O6S;1;100;100
gypsum quarry operation;anhydrite rock;IN;Anhydrite;#1f77b4;CaSO4;1;100;100
gypsum quarry operation;gypsum, mineral;IN;Gypsum;#1f77b4;CaH4O6S;1;100;100
gypsum quarry operation;anhydrite rock;ZA;Anhydrite;#1f77b4;CaSO4;1;100;100
gypsum quarry operation;gypsum, mineral;ZA;Gypsum;#1f77b4;CaH4O6S;1;100;100
hard coal mine operation;hard coal, run-of-mine;IN;Coal, hard;#aec7e8;;1;100;100
hard coal mine operation and hard coal preparation;hard coal;AU;Coal, hard;#aec7e8;;1;100;100
hard coal mine operation and hard coal preparation;hard coal;CN;Coal, hard;#aec7e8;;1;100;100
hard coal mine operation and hard coal preparation;hard coal;Europe, without Russia and Türkiye;Coal, hard;#aec7e8;;1;100;100
hard coal mine operation and hard coal preparation;hard coal;ID;Coal, hard;#aec7e8;;1;100;100
hard coal mine operation and hard coal preparation;hard coal;RLA;Coal, hard;#aec7e8;;1;100;100
hard coal mine operation and hard coal preparation;hard coal;RNA;Coal, hard;#aec7e8;;1;100;100
hard coal mine operation and hard coal preparation;hard coal;RU;Coal, hard;#aec7e8;;1;100;100
hard coal mine operation and hard coal preparation;hard coal;RoW;Coal, hard;#aec7e8;;1;100;100
hard coal mine operation, open cast, dragline;hard coal, run-of-mine;ZA;Coal, hard;#aec7e8;;1;100;100
hard coal mine operation, open cast, truck and shovel;hard coal, run-of-mine;ZA;Coal, hard;#aec7e8;;1;100;100
hard coal mine operation, underground;hard coal, run-of-mine;ZA;Coal, hard;#aec7e8;;1;100;100
heavy mineral sand quarry operation;ilmenite, 54% titanium dioxide;AU;Titanium;#ff7f0e;Ti;0.54;100;54
heavy mineral sand quarry operation;rutile, 95% titanium dioxide;AU;Titanium;#ff7f0e;Ti;0.95;100;95
heavy mineral sand quarry operation;zircon;AU;Zirconium;#c49c94;Zr;1;49.7662366;49.7662366
heavy mineral sand quarry operation;ilmenite, 54% titanium dioxide;RoW;Titanium;#ff7f0e;Ti;0.54;100;54
heavy mineral sand quarry operation;rutile, 95% titanium dioxide;RoW;Titanium;#ff7f0e;Ti;0.95;100;95
heavy mineral sand quarry operation;zircon;RoW;Zirconium;#c49c94;Zr;1;49.7662366;49.7662366
heavy mineral sand quarry operation and titania slag production;pig iron;ZA;Iron;#ffbb78;Fe;1;100;100
heavy mineral sand quarry operation and titania slag production;rutile, 95% titanium dioxide;ZA;Titanium;#ff7f0e;Ti;0.95;100;95
heavy mineral sand quarry operation and titania slag production;titania slag, 85% titanium dioxide;ZA;Titanium;#ff7f0e;Ti;0.85;100;85
heavy mineral sand quarry operation and titania slag production;zircon;ZA;Zirconium;#c49c94;Zr;1;49.7662366;49.7662366
ilmenite - magnetite mine operation;ilmenite, 54% titanium dioxide;GLO;Titanium;#ff7f0e;Ti;0.54;100;54
ilmenite - magnetite mine operation;magnetite;GLO;Magnesite;#c5b0d5;MgCO3;1;100;100
intral production;intral;RoW;intral;;;1;100;100
intral production;intral;RER;intral;;;1;100;100
iron ore mine operation and beneficiation;iron ore concentrate;CA-QC;Iron;#ffbb78;Fe;1;100;100
iron ore mine operation, 46% Fe;iron ore, crude ore, 46% Fe;GLO;Iron;#ffbb78;Fe;0.46;100;46
iron ore mine operation, 63% Fe;iron ore, crude ore, 63% Fe;IN;Iron;#ffbb78;Fe;0.63;100;63
kaolin production;kaolin;RoW;Kaolinite;#2ca02c;Al2H4O9Si2 ;1;100;100
kaolin production;kaolin;RER;Kaolinite;#2ca02c;Al2H4O9Si2 ;1;100;100
laterite quarry operation;laterite, mineral;RoW;Laterite;#98df8a;;1;100;100
laterite quarry operation;laterite, mineral;IN;Laterite;#98df8a;;1;100;100
latex production;latex;RoW;latex;;;1;100;100
latex production;latex;RER;latex;;;1;100;100
layered sodium silicate production, SKS-6, powder;layered sodium silicate, SKS-6, powder;RoW;Sodium;#d62728;Na;1;100;100
layered sodium silicate production, SKS-6, powder;layered sodium silicate, SKS-6, powder;RER;Sodium;#d62728;Na;1;100;100
lignite mine operation;lignite;RoW;Coal, hard;#aec7e8;;1;100;100
lignite mine operation;lignite;IN;Coal, hard;#aec7e8;;1;100;100
lignite mine operation;lignite;RER;Coal, hard;#aec7e8;;1;100;100
lime production, algae;lime;FR;lime;;CaO;1;100;100
limestone quarry operation;limestone, unprocessed;CA-QC;limestone, unprocessed;;;1;100;100
limestone quarry operation;limestone, unprocessed;CH;limestone, unprocessed;;;1;100;100
limestone quarry operation;limestone, unprocessed;RoW;limestone, unprocessed;;;1;100;100
limestone quarry operation;limestone, unprocessed;IN;limestone, unprocessed;;;1;100;100
lithium brine inspissation;lithium brine, 6.7 % Li;GLO;Lithium;#A9CBA7;Li;0.067;100;6.7
magnesium oxide production;magnesium oxide;RoW;Magnesium;#9467bd;Mg;1;60.30418817;60.30418817
magnesium oxide production;magnesium oxide;RER;Magnesium;#9467bd;Mg;1;60.30418817;60.30418817
magnesium sulfate production;magnesium sulfate;RoW;Magnesium;#9467bd;Mg;1;20.19341813;20.19341813
magnesium sulfate production;magnesium sulfate;RER;Magnesium;#9467bd;Mg;1;20.19341813;20.19341813
malusil production;malusil;RoW;malusil;;;1;100;100
malusil production;malusil;RER;malusil;;;1;100;100
manganese concentrate production;manganese concentrate;GLO;Manganese;#7f7f7f;Mn;1;100;100
mercury production;mercury;GLO;Mercury;#8c564b;Hg;1;100;100
molybdenite mine operation;copper concentrate, sulfide ore;GLO;Copper;#9467bd;Cu;1;100;100
molybdenite mine operation;molybdenite;GLO;Molybdenum;#c49c94;Mo;1;59.94252515;59.94252515
natural gas venting from petroleum/natural gas production;natural gas, vented;GLO;Gas, natural;#e377c2;;1;100;100
natural stone plate production, cut;natural stone plate, cut;CH;natural stone plate, cut;;;1;100;100
natural stone plate production, cut;natural stone plate, cut;RoW;natural stone plate, cut;;;1;100;100
nickel mine operation and benefication to nickel concentrate, 16% Ni;nickel concentrate, 16% Ni;CA-QC;Nickel;#c49c94;Ni;0.16;100;16
nickel mine operation and benefication to nickel concentrate, 7% Ni;nickel concentrate, 7% Ni;CN;Nickel;#c49c94;Ni;0.07;100;7
nickel mine operation and benefication to nickel concentrate, 7% Ni;nickel concentrate, 7% Ni;RoW;Nickel;#c49c94;Ni;0.07;100;7
niobium mine operation and beneficiation, from pyrochlore ore;barite;BR;Barium;#000000;Ba;1;58.84190365;58.84190365
niobium mine operation and beneficiation, from pyrochlore ore;iron ore concentrate;BR;Iron;#ffbb78;Fe;1;100;100
niobium mine operation and beneficiation, from pyrochlore ore;pyrochlore concentrate;BR;pyrochlore concentrate;;;1;100;100
niobium mine operation and beneficiation, from pyrochlore ore;barite;RoW;Barium;#000000;Ba;1;58.84190365;58.84190365
niobium mine operation and beneficiation, from pyrochlore ore;iron ore concentrate;RoW;Iron;#ffbb78;Fe;1;100;100
niobium mine operation and beneficiation, from pyrochlore ore;pyrochlore concentrate;RoW;pyrochlore concentrate;;;1;100;100
packaging glass production, brown;packaging glass, brown;CH;packaging glass, brown;;;1;100;100
packaging glass production, green;packaging glass, green;CH;packaging glass, green;;;1;100;100
packaging glass production, white;packaging glass, white;CH;packaging glass, white;;;1;100;100
perlite quarry operation;perlite;DE;Perlite;#7f7f7f;;1;100;100
perlite quarry operation;perlite;RoW;Perlite;#7f7f7f;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;AE;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;AE;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;AR;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;AR;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;AU;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;AU;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;AZ;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;AZ;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;BR;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;BR;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;CA;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;CA;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;CN;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;CN;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;CO;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;CO;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;DE;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;DE;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;EC;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;EC;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;EG;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;EG;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;GB;Gas, natural;#e377c2;;1;100;100
