Activity;Product;Geography;Matched Substance;Color;Formula;Product_Percentage;Atomic_Percentage;Final_Percentage
petroleum and gas production, offshore;petroleum;GB;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;ID;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;ID;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;IN;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;IN;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;IR;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;IR;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;IT;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;IT;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;KW;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;KW;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;KZ;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;KZ;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;LY;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;LY;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;MX;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;MX;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;MY;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;MY;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;NG;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;NG;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;NL;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;NL;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;NO;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;NO;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;PE;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;PE;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;PL;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;PL;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;QA;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;QA;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;RO;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;RO;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;RU;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;RU;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;SA;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;SA;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;TH;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;TH;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;TM;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;TM;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;TR;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;TR;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;TT;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;TT;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;US;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;US;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, offshore;natural gas, high pressure;VE;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, offshore;petroleum;VE;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;AE;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;AE;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;AR;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;AR;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;AU;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;AU;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;AZ;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;AZ;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;BO;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;BO;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;BR;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;BR;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;CA;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;CA;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;CN;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;CN;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;CO;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;CO;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;DE;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;DE;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;DZ;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;DZ;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;EC;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;EC;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;EG;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;EG;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;GB;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;GB;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;ID;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;ID;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;IN;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;IN;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;IQ;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;IQ;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;IR;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;IR;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;IT;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;IT;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;KW;Gas, natural;#e377c2;;1;100;100
petroleum and gas production, onshore;petroleum;KW;Oil, crude;#c5b0d5;;1;100;100
petroleum and gas production, onshore;natural gas, high pressure;KZ;Gas, natural;#e377c2;;1;100;100
