comp1;comp2;Substance;Color;Supplyrisk;Geography;ecoinvent_UUID;cas_number;Unit
Raw;in ground;Lithium;#A9CBA7;16.81693779585677;AL;7d2c1cdd-a64a-5936-a577-5b82db0c0d1b;7439-93-2;kg Cu eq/kg
Raw;in ground;Magnesite;#9467bd;0.0;AL;9e5823ad-9d9b-4b98-b627-e39611b6a8bd;546-93-0;kg Cu eq/kg
Raw;in ground;Magnesite;#c5b0d5;0.0;AL;a4bab069-74a9-5b4c-8d6e-5ca984cd9ecd;546-93-0;kg Cu eq/kg
Raw;in ground;Manganese;#7f7f7f;0.0;AL;c2586875-bb56-4b1e-84c5-5ff255a1108b;7439-96-5;kg Cu eq/kg
Raw;in ground;Mercury;#8c564b;0.0;AL;54b9cbd0-65df-4fd3-8a19-dd3b8eccc619;7439-97-6;kg Cu eq/kg
Raw;in ground;Molybdenum;#c49c94;0.0;AL;e5a3dff5-72dc-5287-893c-597dd4a19566;7439-98-7;kg Cu eq/kg
Raw;in ground;Natural gas;#FFE680;0.0;AL;7c337428-fb1b-45c7-bbb2-2ee4d29e17ba;8006-14-2;kg Cu eq/kg
Raw;in ground;Nickel;#c49c94;0.0;AL;974213ef-1ba0-40e5-bc7b-52ef099e9e09;7440-02-0;kg Cu eq/kg
Raw;in ground;Niobium;#bcbd22;0.0;AL;8de8befc-efa2-5d07-a58b-b29ea97a3f41;7440-03-1;kg Cu eq/kg
Raw;in ground;Palladium;#f7b6d2;0.0;AL;edc69c63-a776-4dbf-acbf-e0368914980a;7440-05-3;kg Cu eq/kg
Raw;in ground;Crude oil;;0.0;AL;;;kg Cu eq/kg
Raw;in ground;Phosphate;#c7c7c7;22677.74382497607;AL;483ae3c5-4eb0-46e4-b811-a72ad391716b;;kg Cu eq/kg
Raw;in ground;Platinum;#bcbd22;701.3889746036497;AL;d13b2665-505d-49e2-8edd-dc966b0342af;7440-06-4;kg Cu eq/kg
Raw;in ground;Rare earth;#17becf;11.45615983357563;AL;35da65ff-7287-571d-b859-13d398ac5182;7440-10-0;kg Cu eq/kg
Raw;in ground;Rare earth;#1f77b4;11.45615983357563;AL;4057f8b4-f20a-59c9-9bb7-fdeaf5ad106d;;kg Cu eq/kg
Raw;in ground;Rare earth;#7f7f7f;11.45615983357563;AL;176598c1-699c-5dd8-8c33-d269ff7f5edd;;kg Cu eq/kg
Raw;in ground;Rare earth;#9467bd;11.45615983357563;AL;f55e2203-ef91-50bf-8f5a-119bb210522c;7440-54-2;kg Cu eq/kg
Raw;in ground;Rare earth;#98df8a;11.45615983357563;AL;9e28eac3-49f9-5a0d-a8d0-dc4e071ad9e6;7429-91-6;kg Cu eq/kg
Raw;in ground;Rare earth;#aec7e8;11.45615983357563;AL;cf791833-26bc-5207-a9bd-6ddcd8ac7625;7440-19-9;kg Cu eq/kg
Raw;in ground;Rare earth;#c7c7c7;11.45615983357563;AL;89b567f2-2cab-503e-b796-42cba72fce16;7440-65-5;kg Cu eq/kg
Raw;in ground;Rare earth;#c7c7c7;11.45615983357563;AL;db0c855c-e9ef-58d9-97cc-960e646fc882;;kg Cu eq/kg
Raw;in ground;Rare earth;#cccccc;11.45615983357563;AL;a34e010c-6f68-5c79-8b45-2955b91f7dc2;7440-30-4;kg Cu eq/kg
Raw;in ground;Rare earth;#cccccc;11.45615983357563;AL;f2f53dc8-8e09-511f-8dd2-4bae3625ba27;7440-60-0;kg Cu eq/kg
Raw;in ground;Rare earth;#cccccc;11.45615983357563;AL;ea659cca-fe3d-5b03-90d2-60719a862874;7440-64-4;kg Cu eq/kg
Raw;in ground;Rare earth;#cccccc;11.45615983357563;AL;110a04f0-af53-5499-b22e-79b1b91e5a66;7440-52-0;kg Cu eq/kg
Raw;in ground;Rare earth;#cccccc;11.45615983357563;AL;d9a2f8e5-f04a-5ffa-8c75-8133ac7f525c;7439-94-3;kg Cu eq/kg
Raw;in ground;Rare earth;#d62728;11.45615983357563;AL;3d73ec21-de4d-5b68-b504-4ef59e15bd0e;7440-53-1;kg Cu eq/kg
Raw;in ground;Rare earth;#e377c2;11.45615983357563;AL;6ec6a8a8-4c94-5bc5-93c5-62928fcf3935;7440-27-9;kg Cu eq/kg
Raw;in ground;Rare earth;#ffbb78;11.45615983357563;AL;7f9f9b59-35a0-584d-ad5e-07da01dde768;;kg Cu eq/kg
Raw;in ground;Rhodium;#9edae5;0.0;AL;4803f22f-6950-489b-914d-fa953a8081f6;7440-16-6;kg Cu eq/kg
Raw;in ground;Selenium;#2ca02c;0.0;AL;5f47f918-1c32-5870-b992-db91f843ff34;7782-49-2;kg Cu eq/kg
Raw;in ground;Silver;#1f77b4;0.0;AL;361a64cb-ab76-4a72-9ea1-c07d6a20c124;7440-22-4;kg Cu eq/kg
Raw;in ground;Steam Coal;#4D4D4D;0.01847854839310463;AL;b6d0042d-0ef8-49ed-9162-a07ff1ccf750;;kg Cu eq/kg
Raw;in ground;Sulfur;#2ca02c;0.02761248936921989;AL;852281f6-db73-4250-84d3-86b569fce0c1;7704-34-9;kg Cu eq/kg
Raw;in ground;Tantalum;#98df8a;0.0;AL;775fdf03-b0bb-5c25-b14d-107231d5b2f0;7440-25-7;kg Cu eq/kg
Raw;in ground;Tellurium;#c49c94;0.0;AL;7b6da1f2-e191-5a77-ae06-af96201f5803;13494-80-9;kg Cu eq/kg
Raw;in ground;Tin;#d62728;0.0;AL;53d5ef26-66d8-4536-afa2-2f6b114189ba;7440-31-5;kg Cu eq/kg
Raw;in ground;Titanium;#ff7f0e;0.0;AL;2f033407-6060-4e1e-868c-9f362d10fdb2;7440-32-6;kg Cu eq/kg
Raw;in ground;Tungsten;#ff9896;57.92402186288711;AL;ebcc1f0c-6b19-501d-86a4-629df2a457b5;7440-33-7;kg Cu eq/kg
Raw;in ground;Uranium;#9467bd;0.0;AL;2ba5e39b-adb6-4767-a51d-90c1cf32fe98;7440-61-1;kg Cu eq/kg
Raw;in ground;Vanadium;#7f7f7f;15.4037837027772;AL;c9c4b80a-73dd-415a-92fb-f877595651c1;7440-62-2;kg Cu eq/kg
Raw;in ground;Zinc;#8c564b;0.0;AL;be73218b-18af-492e-96e6-addd309d1e32;7440-66-6;kg Cu eq/kg
Raw;in ground;Zirconium;#c49c94;0.0;AL;cd2932c5-a486-4bf1-99b8-815d8a7ce11a;7440-67-7;kg Cu eq/kg
Raw;in ground;Zirconium;#cccccc;0.0;AL;e07b4402-abe3-4346-8c42-051c5983bd1e;12036-23-6;kg Cu eq/kg
Raw;in ground;Aluminium;;1.379142365074778;DZ;;;kg Cu eq/kg
Raw;in ground;Antimony;#e377c2;0.0;DZ;47262180-8308-5d4c-9332-c77617e032ef;7440-36-0;kg Cu eq/kg
Raw;in ground;Arsenic;#f7b6d2;0.3389846788409512;DZ;e16fd15c-0ebc-55ba-8d3b-9704f13663cb;7440-38-2;kg Cu eq/kg
Raw;in ground;Asbestos;;0.0;DZ;;;kg Cu eq/kg
Raw;in ground;Baryte;#7f7f7f;0.0171973251622003;DZ;240177d8-6f3b-43f5-8d1e-0c18114dfa02;7440-39-3;kg Cu eq/kg
Raw;in ground;Bauxite;#bcbd22;0.04061628243101852;DZ;a45cd247-3532-4e27-bddc-b519fdb5e08f;7429-90-5;kg Cu eq/kg
Raw;in ground;Bentonite;;0.01378708497447386;DZ;;;kg Cu eq/kg
Raw;in ground;Beryllium;#ffbb78;0.0;DZ;68f7bc03-0665-55a1-bd99-96530eab30e2;7440-41-7;kg Cu eq/kg
Raw;in ground;Bismuth;#cccccc;27.28543687553317;DZ;0124b342-4bdd-5cbf-ba2a-dce8a259755c;7440-69-9;kg Cu eq/kg
Raw;in ground;Boron;#bcbd22;0.2795631422708132;DZ;b053aa52-bfac-5435-a0b1-4ca374b0e991;7440-42-8;kg Cu eq/kg
Raw;in ground;Boron;#c7c7c7;0.2795631422708132;DZ;eead2933-c2be-4a53-a0bd-bd33b67e4145;1303-96-4;kg Cu eq/kg
Raw;in ground;Cadmium;#dbdb8d;0.0;DZ;bf377e4f-3a95-4ce2-a9ba-66ee31f00f60;7440-43-9;kg Cu eq/kg
