index;activityName;geography;product;unitName
20062;treatment of bottom ash, MSWI, waste polyurethane, slag compartment;GLO;bottom ash, MSWI, waste polyurethane;kg
20063;treatment of bottom ash, MSWI, waste polyvinylchloride, slag compartment;GLO;bottom ash, MSWI, waste polyvinylchloride;kg
20064;treatment of bottom ash, MSWI, waste polyvinylfluoride, slag compartment;GLO;bottom ash, MSWI, waste polyvinylfluoride;kg
20065;treatment of bottom ash, MSWI, waste rubber, unspecified, slag compartment;Europe without Switzerland;bottom ash, MSWI, waste rubber, unspecified;kg
20066;treatment of bottom ash, MSWI, waste rubber, unspecified, slag compartment;RoW;bottom ash, MSWI, waste rubber, unspecified;kg
20067;treatment of bottom ash, MSWI, waste sealing sheet, polyethylene, slag compartment;GLO;bottom ash, MSWI, waste sealing sheet, polyethylene;kg
20068;treatment of bottom ash, MSWI, waste sealing sheet, polyvinylchloride, slag compartment;GLO;bottom ash, MSWI, waste sealing sheet, polyvinylchloride;kg
20069;treatment of bottom ash, MSWI, waste textile, soiled, slag compartment;GLO;bottom ash, MSWI, waste textile, soiled;kg
20070;treatment of bottom ash, MSWI, waste vapour barrier, flame-retarded, slag compartment;GLO;bottom ash, MSWI, waste vapour barrier, flame-retarded;kg
20071;treatment of bottom ash, MSWI, waste wire plastic, slag compartment;GLO;bottom ash, MSWI, waste wire plastic;kg
20072;treatment of bottom ash, MSWI, waste wood pole, chrome preserved, slag compartment;GLO;bottom ash, MSWI, waste wood pole, chrome preserved;kg
20073;treatment of bottom ash, MSWI, waste wood, untreated, slag compartment;GLO;bottom ash, MSWI, waste wood, untreated;kg
20074;treatment of bottom ash, MSWI, wood ash mixture, pure, slag compartment;Europe without Switzerland;bottom ash, MSWI, wood ash mixture, pure;kg
20075;treatment of bottom ash, MSWI, wood ash mixture, pure, slag compartment;RoW;bottom ash, MSWI, wood ash mixture, pure;kg
20076;treatment of bottom ash, MSWI, zinc in car shredder residue, slag compartment;GLO;bottom ash, MSWI, zinc in car shredder residue;kg
20077;treatment of bottom ash, MSWI-WWT, WW from CRT production, slag compartment;GLO;bottom ash, MSWI-WWT, WW from CRT production;kg
20078;treatment of bottom ash, MSWI-WWT, WW from GGBFS production, slag compartment;RoW;bottom ash, MSWI-WWT, WW from GGBFS production;kg
20079;treatment of bottom ash, MSWI-WWT, WW from GGBFS production, slag compartment;US;bottom ash, MSWI-WWT, WW from GGBFS production;kg
