comp1;comp2;Substance;Matched Substance;Color;Supplyrisk;Geography;ecoinvent_UUID;cas_number;Unit
Raw;in ground;Boron;Boron;#bcbd22;0.2275344103021325;AT;b053aa52-bfac-5435-a0b1-4ca374b0e991;7440-42-8;kg Cu eq/kg
Raw;in ground;Cadmium;Cadmium;#dbdb8d;1.682067497290771;AT;bf377e4f-3a95-4ce2-a9ba-66ee31f00f60;7440-43-9;kg Cu eq/kg
Raw;in ground;Chromium;Chromite;#f7b6d2;0.2189133876870411;AT;e189e2d4-3d3f-4ada-b302-91611784311f;7440-47-3;kg Cu eq/kg
Raw;in ground;Cobalt;Cobalt;#ff9896;31.74200075058986;AT;d0779a5e-6969-4144-954e-ceb81fb83f15;7440-48-4;kg Cu eq/kg
Raw;in ground;;;;0.1263750141764085;AT;;;kg Cu eq/kg
Raw;in ground;Copper;Copper;#9467bd;0.5974629152995752;AT;a9ac40a0-9bea-4c48-afa7-66aa6eb90624;7440-50-8;kg Cu eq/kg
Raw;in ground;Diatomite;Diatomite;#2ca02c;0.1041635740529945;AT;9877ce00-65f8-4c0c-9fcf-92aa53a2c9c0;61790-53-2;kg Cu eq/kg
Raw;in ground;Feldspar;Feldspar;#e377c2;0.002562056312477654;AT;26296ec9-ff93-41e6-bbbf-6175af04284d;68476-25-5;kg Cu eq/kg
Raw;in ground;Fluorspar;Fluorspar;#c7c7c7;0.3727766637468684;AT;0fa4f51e-b0dc-5d11-84d3-b32f0f3c88d5;14542-23-5;kg Cu eq/kg
Raw;in ground;Germanium;Germanium;#dbdb8d;0.0;AT;d3e547dc-1a29-5ece-8dbb-bd9c0ad3cc46;7440-56-4;kg Cu eq/kg
Raw;in ground;Gold;Gold;#dbdb8d;2369.667293316334;AT;d080e6a4-42c6-484e-b5d7-d74693aec7d9;7440-57-5;kg Cu eq/kg
Raw;in ground;Graphite;Graphite;#17becf;0.7541470913583105;AT;5666353e-2db2-41d3-8414-404709151422;7782-42-5;kg Cu eq/kg
Raw;in ground;Anhydrite;Gypsum;#1f77b4;0.0001137536775443238;AT;6df9ea09-115a-4678-9f30-d92c877a46ec;7778-18-9;kg Cu eq/kg
Raw;in ground;Gypsum;Gypsum;#1f77b4;0.0001137536775443238;AT;11a2a7b1-ab2f-47b8-9e29-6f33d5207fa6;13397-24-5;kg Cu eq/kg
Raw;in ground;Iron;Iron;#ffbb78;0.0451209294399849;AT;8ce3ff02-7a1e-48e3-881e-3248b944f28a;7439-89-6;kg Cu eq/kg
Raw;in ground;Kaolinite;Kaolin;#2ca02c;0.01506757583837864;AT;81ff5c0b-c44f-534e-a55e-8fc017e33dd2;;kg Cu eq/kg
Raw;in ground;Lead;Lead;#2ca02c;2.133055940391916;AT;fbcb9c7a-eea7-4694-ba6c-568e01d28883;7439-92-1;kg Cu eq/kg
Raw;in ground;Coal, brown;Lignite;#4D4D4D;0.00754635866127485;AT;024c9722-1e88-412b-8c4b-10c532be8dca;;kg Cu eq/kg
